Date,Account Number,Symbol,Asset Type,Currency,Qty,Price Per Share,Commission,MER Fees,Action
2018-03-07,87161840,ENB.TO,Stock,CAD,10,52.01,5.96,0.0,Buy
2018-04-11,87161840,ENB.TO,Stock,CAD,-10,50.86,4.8,0.0,Sell
2018-05-07,87161840,QQQ,ETF,USD,100,280.68,7.2,0.0,Buy
2018-05-29,87161840,QQQ,ETF,USD,25,319.35,1.1,15.97,Buy
2018-06-06,87161840,QQQ,ETF,USD,5,327.53,4.1,0.0,Buy
2018-07-11,87161840,BCE.TO,Stock,CAD,100,59.01,1.38,0.0,Buy
2018-07-16,87161840,QQQ,ETF,USD,130,0.37,0.0,0.0,Dividend
2018-07-20,87161840,BCE.TO,Stock,CAD,20,63.04,3.42,0.0,Buy
2018-08-06,87161840,QQQ,ETF,USD,-13,294.02,9.56,0.0,Sell
2018-08-06,87161840,QQQ,ETF,USD,-46,294.02,2.07,0.0,Sell
2018-08-07,87161840,QQQ,ETF,USD,-47,295.43,2.73,0.0,Sell
2018-08-20,87161840,QQQ,ETF,USD,24,0.36,0.0,0.0,Dividend
2018-08-28,87161840,BCE.TO,Stock,CAD,10,60.19,9.54,0.0,Buy
2018-08-28,87161840,QQQ,ETF,USD,-24,267.52,4.79,0.0,Sell
2018-08-30,87161840,BCE.TO,Stock,CAD,20,62.09,7.4,0.0,Buy
2018-10-05,87161840,BCE.TO,Stock,CAD,-34,64.84,2.25,0.0,Sell
2018-11-27,87161840,BCE.TO,Stock,CAD,25,63.6,4.72,0.0,Buy
2018-11-30,87161840,BCE.TO,Stock,CAD,20,61.69,9.77,0.0,Buy
2018-12-22,87161840,BCE.TO,Stock,CAD,5,55.71,7.55,0.0,Buy
2018-12-31,87161840,BCE.TO,Stock,CAD,-50,57.23,0.89,0.0,Sell
2019-02-05,87161840,BCE.TO,Stock,CAD,116,0.82,0.0,0.0,Dividend
2019-02-19,87161840,BCE.TO,Stock,CAD,116,0.85,0.0,0.0,Dividend
2019-03-05,87161840,BCE.TO,Stock,CAD,-12,49.25,9.36,0.0,Sell
2019-03-05,19898653,RY.TO,Stock,CAD,10,162.93,0.09,0.0,Buy
2019-04-12,87161840,BCE.TO,Stock,CAD,104,0.8,0.0,0.0,Dividend
2019-04-18,19898653,RY.TO,Stock,CAD,10,1.53,0.0,0.0,Dividend
2019-04-26,19898653,RY.TO,Stock,CAD,10,1.55,0.0,0.0,Dividend
2019-06-03,19898653,RY.TO,Stock,CAD,50,140.65,1.13,0.0,Buy
2019-06-18,19898653,RY.TO,Stock,CAD,-46,135.55,1.86,0.0,Sell
2019-06-29,87161840,XOM,Stock,USD,50,145.32,6.74,0.0,Buy
2019-07-14,87161840,XOM,Stock,USD,50,1.18,0.0,0.0,Dividend
2019-07-22,19898653,VOO,ETF,USD,50,1112.57,3.28,0.0,Buy
2019-08-04,19898653,RY.TO,Stock,CAD,5,117.77,0.07,0.0,Buy
2019-08-17,19898653,VOO,ETF,USD,-22,1142.95,3.02,0.0,Sell
2019-08-28,87161840,XOM,Stock,USD,-4,142.0,6.67,0.0,Sell
2019-09-02,19898653,RY.TO,Stock,CAD,20,135.39,9.22,0.0,Buy
2019-09-13,87161840,ENB.TO,Stock,CAD,10,131.31,6.9,0.0,Buy
2019-09-15,87161840,XOM,Stock,USD,5,151.93,2.19,0.0,Buy
2019-10-05,19898653,RY.TO,Stock,CAD,20,157.67,3.73,0.0,Buy
2019-10-26,87161840,BMO.TO,Stock,CAD,50,181.05,8.01,0.0,Buy
2019-11-11,87161840,VEA,ETF,USD,100,68.55,7.54,0.0,Buy
2019-11-16,19898653,RY.TO,Stock,CAD,10,138.43,0.78,0.0,Buy
2019-11-18,87161840,BCE.TO,Stock,CAD,-33,46.43,2.02,0.0,Sell
2019-11-29,87161840,VEA,ETF,USD,20,80.61,4.41,0.0,Buy
2019-12-24,87161840,QQQ,ETF,USD,1,279.17,8.98,0.0,Buy
2020-01-04,87161840,BMO.TO,Stock,CAD,15,160.34,5.63,0.0,Buy
2020-03-20,87161840,XOM,Stock,USD,-26,142.08,2.54,0.0,Sell
2020-04-09,19898653,RY.TO,Stock,CAD,-3,165.07,4.23,0.0,Sell
