Date,Account Number,Symbol,Asset Type,Currency,Qty,Price Per Share,Commission,MER Fees,Action
2020-02-13,86762164,VOO,ETF,USD,20,414.18,0.16,0.0,Buy
2020-03-30,86762164,VOO,ETF,USD,25,507.38,0.63,0.0,Buy
2020-04-02,86762164,VOO,ETF,USD,5,521.9,9.44,1.76,Buy
2020-04-29,86762164,VCN.TO,ETF,CAD,50,44.06,3.01,0.0,Buy
2020-05-14,86762164,VCN.TO,ETF,CAD,-28,42.02,6.85,0.0,Sell
2020-05-17,86762164,VDY.TO,ETF,CAD,10,38.63,3.22,0.0,Buy
2020-06-15,86762164,VCN.TO,ETF,CAD,-18,38.96,7.11,0.0,Sell
2020-06-17,86762164,VOO,ETF,USD,20,586.64,4.3,0.0,Buy
2020-07-03,86762164,VCN.TO,ETF,CAD,-2,39.73,4.3,0.0,Sell
2020-07-12,86762164,VOO,ETF,USD,25,673.64,0.95,0.0,Buy
2020-08-05,86762164,VOO,ETF,USD,95,2.29,0.0,0.0,Dividend
2020-08-27,86762164,VDY.TO,ETF,CAD,-2,32.09,4.31,0.0,Sell
2020-10-07,86762164,VDY.TO,ETF,CAD,-6,32.85,6.69,0.0,Sell
2020-10-17,86762164,IWM,ETF,USD,100,231.18,0.51,0.0,Buy
2020-11-09,86762164,VDY.TO,ETF,CAD,-1,34.95,1.55,0.0,Sell
2020-12-06,61185849,XIC.TO,ETF,CAD,50,62.94,3.67,0.0,Buy
2021-02-05,86762164,VOO,ETF,USD,-50,800.3,8.18,0.0,Sell
2021-02-05,86762164,VDY.TO,ETF,CAD,-1,39.07,0.29,0.0,Sell
2021-02-11,86762164,AAPL,Stock,USD,20,165.32,0.06,0.0,Buy
2021-03-05,61185849,JNJ,Stock,USD,100,134.62,4.0,0.0,Buy
2021-03-06,86762164,VCN.TO,ETF,CAD,2,0.36,0.0,0.0,Dividend
2021-03-13,86762164,IWM,ETF,USD,10,216.44,1.57,0.0,Buy
2021-03-14,86762164,VOO,ETF,USD,-4,897.16,1.55,0.0,Sell
2021-04-20,61185849,JNJ,Stock,USD,25,153.29,4.24,0.0,Buy
2021-04-27,86762164,IWM,ETF,USD,50,252.35,5.12,0.0,Buy
2021-05-18,86762164,VCN.TO,ETF,CAD,-2,65.3,5.26,0.0,Sell
2021-05-22,86762164,VOO,ETF,USD,5,705.59,3.01,0.0,Buy
2021-05-24,61185849,XIC.TO,ETF,CAD,1,66.74,0.08,0.0,Buy
2021-06-16,86762164,IWM,ETF,USD,5,232.29,5.0,0.0,Buy
2021-06-22,61185849,CNR.TO,Stock,CAD,25,131.23,8.61,0.0,Buy
2021-07-01,61185849,CNR.TO,Stock,CAD,1,132.21,8.61,0.0,Buy
2021-07-18,86762164,IWM,ETF,USD,25,218.12,4.17,0.0,Buy
2021-07-24,86762164,AAPL,Stock,USD,20,139.3,4.6,0.0,Buy
2021-07-25,86762164,AAPL,Stock,USD,50,136.99,1.06,0.0,Buy
2021-07-27,61185849,XIC.TO,ETF,CAD,15,63.32,8.7,0.0,Buy
2021-08-10,61185849,JNJ,Stock,USD,25,163.85,1.14,0.0,Buy
2021-08-15,86762164,AAPL,Stock,USD,50,133.15,6.45,0.0,Buy
2021-08-27,61185849,CNR.TO,Stock,CAD,5,137.3,1.73,0.0,Buy
2021-08-31,86762164,VOO,ETF,USD,50,687.07,6.27,0.0,Buy
2021-09-16,86762164,IWM,ETF,USD,20,243.72,6.42,0.0,Buy
2021-09-28,86762164,VOO,ETF,USD,15,693.71,0.68,0.0,Buy
2021-10-26,86762164,AAPL,Stock,USD,-23,129.49,5.07,0.0,Sell
2021-12-06,61185849,XIC.TO,ETF,CAD,10,54.09,8.31,0.0,Buy
2022-01-16,86762164,VDY.TO,ETF,CAD,20,37.89,5.93,0.0,Buy
2022-01-21,86762164,VOO,ETF,USD,-3,1087.67,4.49,0.0,Sell
2022-03-20,61185849,JNJ,Stock,USD,-33,151.72,1.51,0.0,Sell
2022-05-04,61185849,CNR.TO,Stock,CAD,-27,115.72,3.43,0.0,Sell
2022-05-22,86762164,VCN.TO,ETF,CAD,25,57.03,1.72,0.0,Buy
2022-05-30,86762164,VCN.TO,ETF,CAD,20,57.04,1.59,0.0,Buy
2022-06-19,86762164,VOO,ETF,USD,-44,1271.15,5.97,0.0,Sell
2022-07-05,86762164,VDY.TO,ETF,CAD,20,30.88,6.78,0.0,Buy
2022-07-10,86762164,VTI,ETF,USD,20,210.65,0.81,0.0,Buy
2022-07-27,61185849,BMO.TO,Stock,CAD,100,52.61,6.98,0.0,Buy
2022-08-14,86762164,VCN.TO,ETF,CAD,-6,73.04,3.09,0.0,Sell
2022-09-13,61185849,MSFT,Stock,USD,100,279.36,7.02,0.0,Buy
2022-09-16,61185849,SPY,ETF,USD,100,766.36,6.7,0.0,Buy
2022-09-20,61185849,JNJ,Stock,USD,5,154.76,3.41,0.0,Buy
2022-09-26,86762164,VTI,ETF,USD,5,233.7,1.55,0.0,Buy
2022-10-03,61185849,BMO.TO,Stock,CAD,-48,53.21,8.83,0.0,Sell
2022-10-26,86762164,AAPL,Stock,USD,117,0.13,0.0,0.0,Dividend
2022-11-24,86762164,VOO,ETF,USD,5,1217.84,1.81,0.0,Buy
2022-12-20,61185849,MSFT,Stock,USD,-3,307.9,4.1,0.0,Sell
2023-01-10,86762164,VTI,ETF,USD,25,0.69,0.0,0.0,Dividend
2023-01-20,86762164,IWM,ETF,USD,5,310.49,3.09,0.0,Buy
2023-02-22,86762164,VTI,ETF,USD,20,209.53,9.83,0.0,Buy
2023-03-08,61185849,XIC.TO,ETF,CAD,15,46.01,9.65,0.0,Buy
2023-03-13,61185849,MSFT,Stock,USD,97,0.83,0.0,0.0,Dividend
2023-03-23,86762164,IWM,ETF,USD,215,0.98,0.0,0.0,Dividend
2023-05-25,61185849,BMO.TO,Stock,CAD,52,0.82,0.0,0.0,Dividend
2023-05-25,61185849,MSFT,Stock,USD,20,460.47,1.47,0.0,Buy
2023-06-23,86762164,VTI,ETF,USD,-23,259.41,9.3,0.0,Sell
2023-07-02,86762164,AAPL,Stock,USD,1,67.0,3.75,0.0,Buy
2023-07-21,86762164,VDY.TO,ETF,CAD,-22,56.34,7.91,0.0,Sell
2023-10-02,86762164,IWM,ETF,USD,-9,341.68,7.58,0.0,Sell
2023-10-07,86762164,VDY.TO,ETF,CAD,5,49.07,8.34,0.0,Buy
