Date,Account Number,Symbol,Asset Type,Currency,Qty,Price Per Share,Commission,MER Fees,Action
2016-02-13,48241423,VTI,ETF,USD,50,250.95,7.84,0.0,Buy
2016-03-06,48241423,VTI,ETF,USD,-32,236.37,9.97,0.0,Sell
2016-03-20,91549765,VDY.TO,ETF,CAD,15,54.57,1.5,0.0,Buy
2016-03-24,48241423,VTI,ETF,USD,-1,243.03,9.5,0.33,Sell
2016-03-25,48241423,VTI,ETF,USD,20,246.22,9.82,0.0,Buy
2016-06-02,91549765,DIS,Stock,USD,100,132.6,2.8,0.0,Buy
2016-06-26,91549765,DIS,Stock,USD,20,150.26,4.13,0.0,Buy
2016-07-15,91549765,JPM,Stock,USD,100,134.16,0.85,0.0,Buy
2016-08-01,91549765,VDY.TO,ETF,CAD,-7,55.68,0.75,0.0,Sell
2016-08-09,91549765,VDY.TO,ETF,CAD,10,55.0,8.5,0.0,Buy
2016-08-09,48241423,VTI,ETF,USD,10,324.8,2.33,0.0,Buy
2016-09-05,91549765,DIS,Stock,USD,5,120.16,4.49,0.0,Buy
2016-09-15,91549765,DIS,Stock,USD,50,120.53,2.07,0.0,Buy
2016-09-17,48241423,VTI,ETF,USD,47,1.34,0.0,0.0,Dividend
2016-09-27,48241423,XIU.TO,ETF,CAD,100,32.1,6.96,0.0,Buy
2016-10-07,48241423,BCE.TO,Stock,CAD,15,64.17,0.91,0.0,Buy
2016-10-21,48241423,BCE.TO,Stock,CAD,1,70.34,6.77,0.0,Buy
2016-10-30,48241423,XIU.TO,ETF,CAD,15,28.63,8.54,0.0,Buy
2016-11-11,91549765,DIS,Stock,USD,50,112.1,7.93,0.0,Buy
2016-12-14,91549765,DIS,Stock,USD,-15,100.27,1.31,0.0,Sell
2016-12-18,48241423,TD.TO,Stock,CAD,100,98.34,6.3,0.0,Buy
2016-12-22,48241423,VTI,ETF,USD,-5,359.76,0.22,0.0,Sell
2017-01-05,91549765,VOO,ETF,USD,15,598.74,0.92,0.0,Buy
2017-01-10,48241423,SU.TO,Stock,CAD,10,26.77,9.41,0.0,Buy
2017-01-21,91549765,JPM,Stock,USD,-26,204.06,4.96,0.0,Sell
2017-01-21,91549765,JPM,Stock,USD,5,204.06,9.07,0.0,Buy
2017-03-30,48241423,TD.TO,Stock,CAD,100,1.4,0.0,0.0,Dividend
2017-05-20,48241423,BCE.TO,Stock,CAD,-16,93.63,4.12,0.0,Sell
2017-05-23,48241423,SU.TO,Stock,CAD,15,25.08,1.37,0.0,Buy
2017-05-31,91549765,VDY.TO,ETF,CAD,-18,72.63,7.94,0.0,Sell
2017-06-06,91549765,VDY.TO,ETF,CAD,15,74.57,5.44,0.0,Buy
2017-06-06,91549765,BND,ETF,USD,25,154.56,2.7,0.0,Buy
2017-07-06,48241423,SU.TO,Stock,CAD,25,0.3,0.0,0.0,Dividend
2017-08-18,91549765,MSFT,Stock,USD,25,477.81,5.29,0.0,Buy
2017-10-09,91549765,SPY,ETF,USD,15,383.01,1.0,0.0,Buy
2017-10-20,91549765,MSFT,Stock,USD,-8,470.81,5.75,0.0,Sell
2017-10-31,48241423,AMZN,Stock,USD,20,147.43,9.34,0.0,Buy
2017-11-08,91549765,PG,Stock,USD,15,214.04,2.36,0.0,Buy
2017-12-05,48241423,AMZN,Stock,USD,-19,155.37,0.28,0.0,Sell
2017-12-17,48241423,VWO,ETF,USD,50,64.71,1.42,0.0,Buy
2017-12-17,48241423,BCE.TO,Stock,CAD,20,92.04,3.09,0.0,Buy
2018-01-22,48241423,SU.TO,Stock,CAD,20,32.2,2.19,0.0,Buy
