Date,Account Number,Symbol,Asset Type,Currency,Qty,Price Per Share,Commission,MER Fees,Action
2017-02-25,76951647,RY.TO,Stock,CAD,50,117.32,2.2,0.0,Buy
2017-03-26,76951647,RY.TO,Stock,CAD,-11,111.64,4.16,0.0,Sell
2017-03-27,76951647,RY.TO,Stock,CAD,5,112.15,6.63,0.0,Buy
2017-05-16,76951647,RY.TO,Stock,CAD,50,105.07,6.18,0.0,Buy
2017-06-14,76951647,RY.TO,Stock,CAD,10,100.46,4.45,0.0,Buy
2017-07-15,76951647,VWO,ETF,USD,10,41.72,6.82,0.0,Buy
2017-07-18,76951647,AMZN,Stock,USD,25,183.82,2.56,0.0,Buy
2017-08-13,28070539,XIC.TO,ETF,CAD,50,30.68,8.21,0.0,Buy
2017-08-29,76951647,META,Stock,USD,25,247.17,0.44,0.0,Buy
2017-09-07,28070539,BND,ETF,USD,20,60.32,5.13,0.0,Buy
2017-09-10,76951647,RY.TO,Stock,CAD,25,109.95,0.65,0.0,Buy
2017-09-21,76951647,AMZN,Stock,USD,15,169.4,8.35,0.0,Buy
2017-10-14,76951647,META,Stock,USD,15,227.82,6.46,0.0,Buy
2017-11-27,28070539,VOO,ETF,USD,10,574.73,4.59,0.0,Buy
2017-12-04,28070539,XIC.TO,ETF,CAD,10,27.79,5.58,0.0,Buy
2018-03-28,76951647,VWO,ETF,USD,15,58.56,6.3,0.0,Buy
2018-04-14,28070539,VOO,ETF,USD,1,527.14,6.41,0.0,Buy
2018-05-20,76951647,CNR.TO,Stock,CAD,10,236.21,7.0,0.0,Buy
2018-06-05,76951647,AMZN,Stock,USD,25,159.1,3.01,0.0,Buy
2018-07-19,76951647,CNR.TO,Stock,CAD,50,221.41,6.6,0.0,Buy
2018-07-30,28070539,BND,ETF,USD,15,56.71,7.96,0.0,Buy
2018-08-02,76951647,VWO,ETF,USD,50,51.27,8.66,0.0,Buy
2018-08-21,28070539,IWM,ETF,USD,50,153.29,8.74,0.0,Buy
2018-09-20,28070539,VOO,ETF,USD,1,517.29,3.04,0.0,Buy
2018-09-24,28070539,SHOP.TO,Stock,CAD,15,150.08,4.12,0.0,Buy
2018-10-24,28070539,SHOP.TO,Stock,CAD,5,153.66,2.21,0.0,Buy
2018-10-29,76951647,VWO,ETF,USD,25,60.54,7.99,0.0,Buy
2018-11-23,28070539,SHOP.TO,Stock,CAD,20,147.71,0.73,0.0,Buy
2018-11-23,28070539,BND,ETF,USD,25,67.97,5.8,0.0,Buy
2019-01-14,76951647,VWO,ETF,USD,20,58.51,0.7,0.0,Buy
2019-01-29,76951647,RY.TO,Stock,CAD,-20,206.97,6.93,0.0,Sell
2019-01-31,76951647,CNR.TO,Stock,CAD,10,280.2,9.58,0.0,Buy
2019-03-09,76951647,RY.TO,Stock,CAD,5,180.24,7.11,0.0,Buy
2019-04-05,28070539,BND,ETF,USD,-9,66.0,6.79,0.0,Sell
2019-04-17,76951647,META,Stock,USD,10,160.22,4.86,0.0,Buy
2019-05-01,76951647,CNR.TO,Stock,CAD,10,281.63,8.58,0.0,Buy
2019-05-05,28070539,SHOP.TO,Stock,CAD,25,134.66,8.85,0.0,Buy
2019-05-14,76951647,AMZN,Stock,USD,20,136.9,6.31,0.0,Buy
2019-05-18,76951647,CNR.TO,Stock,CAD,20,247.41,2.13,0.0,Buy
2019-06-10,28070539,BND,ETF,USD,20,69.01,4.72,0.0,Buy
2019-07-12,76951647,VWO,ETF,USD,120,0.59,0.0,0.0,Dividend
2019-08-09,28070539,IWM,ETF,USD,20,139.13,0.9,0.0,Buy
2019-08-14,76951647,VWO,ETF,USD,-40,77.8,6.83,0.0,Sell
2019-10-03,28070539,IWM,ETF,USD,20,128.05,6.59,0.0,Buy
